Compound,TyreLifeInt,median_loss,mean_loss,n
ULTRASOFT,17,0.8629999999999995,1.227666666666666,93
ULTRASOFT,18,0.7219999999999942,1.2146046511627908,86
ULTRASOFT,19,0.8439999999999941,1.1965287356321832,87
ULTRASOFT,20,0.742999999999995,1.1198701298701295,77
ULTRASOFT,21,0.8519999999999968,1.283028571428571,70
ULTRASOFT,22,0.9129999999999967,1.1612205882352933,68
ULTRASOFT,23,0.8584999999999923,1.2436562500000001,64
ULTRASOFT,24,1.0664999999999978,1.5100333333333333,60
ULTRASOFT,25,0.7204999999999941,1.3466071428571424,56
ULTRASOFT,26,1.1479999999999961,1.4427058823529395,51
ULTRASOFT,27,0.6580000000000013,1.1187659574468087,47
ULTRASOFT,28,0.722999999999999,1.3389069767441872,43
ULTRASOFT,29,0.5739999999999981,1.3072857142857148,42
ULTRASOFT,30,0.6509999999999962,1.1312000000000004,35
ULTRASOFT,31,0.6950000000000074,1.2606666666666655,33
ULTRASOFT,32,0.847999999999999,1.0844594594594588,37
ULTRASOFT,33,0.6809999999999974,1.0498620689655167,29
ULTRASOFT,34,0.527000000000001,1.0194444444444453,27
ULTRASOFT,35,0.5750000000000028,1.0885185185185184,27
WET,3,10.936000000000007,9.54103448275862,29
WET,4,4.674499999999995,5.208045454545455,44
WET,5,3.336999999999996,4.269690476190477,42
WET,6,3.120999999999995,4.359162162162162,37
WET,7,5.319000000000003,4.240515151515153,33
WET,8,4.694000000000003,3.859900000000001,30
WET,9,4.4650000000000105,3.7602500000000005,28
WET,10,4.067999999999998,3.3908400000000007,25
